MIV;Datum Zeit;DiDok;Werk;Ort;Schaltfeld;(alt) TisID;Richtung;Linie;km_von;km_bis;U8min, mittel [kV];I8min, mittel [A];P = U*I ?  ;P8min, mittel [MW];Status Messung U;Status Messung I;Status Messung P;Anzahl beruecksichtigte Messungen U;Anzahl nicht beruecksichtigte Messungen U;Anzahl beruecksichtigte Messungen I;Anzahl nicht beruecksichtigte Messungen I;Anzahl beruecksichtigte Messungen P;Anzahl nicht beruecksichtigte Messungen P;Bemerkungen
39;11.01.2021 13:35;;;;;;;;;2.6854674;15.54;172.81;2.69;2.45;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:40;;;;;;;;;2.86626;15.5;184.92;2.87;2.23;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:45;;;;;;;;;2.7764451;15.51;179.01;2.78;2.23;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:50;;;;;;;;;2.6588945;15.55;170.99;2.66;1.99;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 13:55;;;;;;;;;1.8689116;15.56;120.11;1.87;1.21;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:00;;;;;;;;;2.130164;15.56;136.9;2.13;1.29;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:05;;;;;;;;;2.6322157;15.49;169.93;2.63;2.29;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:10;;;;;;;;;2.071885;15.5;133.67;2.07;1.89;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:15;;;;;;;;;2.2544901;15.53;145.17;2.25;1.78;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:20;;;;;;;;;2.7044787;15.51;174.37;2.70;2.3;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:25;;;;;;;;;1.9786773;15.53;127.41;1.98;1.26;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:30;;;;;;;;;2.1534676;15.58;138.22;2.15;1.24;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:35;;;;;;;;;2.9089326;15.54;187.19;2.91;2.58;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:40;;;;;;;;;3.104514;15.48;200.55;3.10;2.72;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:45;;;;;;;;;3.1302108;15.48;202.21;3.13;2.58;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:50;;;;;;;;;2.8524441;15.51;183.91;2.85;2.31;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 14:55;;;;;;;;;2.7307952;15.53;175.84;2.73;1.96;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 15:00;;;;;;;;;2.7724914;15.54;178.41;2.77;1.86;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 15:05;;;;;;;;;2.9473653;15.51;190.03;2.95;2.76;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 15:10;;;;;;;;;3.0833257;15.47;199.31;3.08;2.61;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 15:15;;;;;;;;;3.4056;15.48;220;3.41;2.95;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 15:20;;;;;;;;;2.7617044;15.47;178.52;2.76;2.13;ok;ok;ok;8;0;8;0;8;0;
39;11.01.2021 15:25;;;;;;;;;2.4414754;15.47;157.82;2.44;1.66;ok;ok;ok;8;0;8;0;8;0;
